中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
150.230.123.136,443,2a0b:21c0:1007:1cb:0:425d:620a:e7ea,DE,Frankfurt,隧道,173 ms,116 Mbps,14950 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,177 ms,39 Mbps,5039 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,153 ms,40 Mbps,5242 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,182 ms,42 Mbps,5447 kB/s
158.101.212.88,443,98.98.166.170,US,Frankfurt,隧道,171 ms,107 Mbps,13721 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,238 ms,61 Mbps,7933 kB/s
129.151.148.35,443,129.151.148.35,AE,Amsterdam,中转,257 ms,25 Mbps,3217 kB/s
193.123.80.245,443,193.123.80.245,AE,Amsterdam,中转,281 ms,29 Mbps,3747 kB/s
47.57.233.126,443,47.89.252.205,US,San Jose,隧道,272 ms,0 Mbps,119 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,325 ms,0 Mbps,10 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,236 ms,0 Mbps,8 kB/s
