中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
34.82.76.253,443,34.83.158.48,US,Seattle,隧道,51 ms,574 Mbps,73523 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,159 ms,41 Mbps,5262 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,178 ms,104 Mbps,13312 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,179 ms,47 Mbps,6089 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,191 ms,106 Mbps,13619 kB/s
47.57.245.232,443,47.89.249.212,US,San Jose,隧道,237 ms,0 Mbps,35 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,84 ms,40 Mbps,5182 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,159 ms,88 Mbps,11366 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,26 ms,21 Mbps,2740 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,21 ms,45 Mbps,5815 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,37 ms,0 Mbps,19 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,59 ms,212 Mbps,27136 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,29 ms,157 Mbps,20172 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,229 ms,27 Mbps,3554 kB/s
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,157 ms,31 Mbps,4006 kB/s
168.138.194.74,443,168.138.194.74,JP,Tokyo,中转,169 ms,59 Mbps,7670 kB/s
152.70.234.185,443,217.142.144.225,KR,Seoul,隧道,137 ms,129 Mbps,16588 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,173 ms,36 Mbps,4663 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,137 ms,40 Mbps,5236 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,175 ms,100 Mbps,12902 kB/s
141.147.147.180,443,141.147.147.180,JP,Osaka,中转,157 ms,44 Mbps,5759 kB/s
140.238.212.95,443,140.238.212.95,CH,Zurich,中转,167 ms,3 Mbps,503 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,172 ms,135 Mbps,17305 kB/s
8.219.203.65,443,8.222.240.96,SG,Singapore,隧道,243 ms,37 Mbps,4831 kB/s
138.3.210.24,443,2603:c021:800d:a344:0:1::,JP,Tokyo,隧道,193 ms,94 Mbps,12083 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,162 ms,43 Mbps,5626 kB/s
8.222.162.7,443,8.219.66.146,SG,Singapore,隧道,224 ms,42 Mbps,5446 kB/s
8.222.170.17,443,47.236.1.53,SG,Singapore,隧道,192 ms,39 Mbps,5004 kB/s
168.138.50.249,443,168.138.50.249,JP,San Jose,中转,170 ms,42 Mbps,5499 kB/s
8.210.58.6,443,8.210.58.6,HK,Hong Kong,中转,247 ms,17 Mbps,2273 kB/s
8.218.73.41,443,8.218.73.41,HK,Hong Kong,中转,238 ms,87 Mbps,11161 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,23 ms,0 Mbps,2 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,136 ms,38 Mbps,4936 kB/s
8.212.44.95,443,47.76.21.93,HK,Hong Kong,隧道,243 ms,5 Mbps,676 kB/s
168.138.165.174,443,168.138.165.174,SG,Los Angeles,中转,227 ms,2 Mbps,348 kB/s
47.57.233.126,443,47.254.17.16,US,San Jose,隧道,0 ms,1 Mbps,212 kB/s
158.101.70.156,443,2602:ffe4:407:20d9:0:49d6:8b49:9a42,SG,Singapore,隧道,620 ms,2 Mbps,355 kB/s
47.57.14.118,443,47.254.95.194,US,San Jose,隧道,229 ms,0 Mbps,17 kB/s
